population,binned,cont,mean_size,data,species
Scorpaenodes scaber__Moorea,0.6292627233101904,0.6653870325548252,3.361111111111111,cbf,Scorpaenodes scaber
Sebastapistes fowleri__Moorea,0.18658888678048532,0.17362218203686564,2.4173913043478263,cbf,Sebastapistes fowleri
Starksia nanodes__Belize,0.3373242243289529,0.24828052198403044,1.4,cbf,Starksia nanodes
Starksia occidentalis__Belize,0.3688605862511648,0.3407852030582905,1.9,cbf,Starksia occidentalis
Starksia occidentalis__Panama,0.3594094723610525,0.29194346285113665,2.672222222222222,cbf,Starksia occidentalis
Starksia sangreyae__Belize,0.5014576920877238,0.24936478939848894,1.81,cbf,Starksia sangreyae
Stegastes adustus__Panama,0.46018771557020194,0.4772160446811202,3.5172413793103448,cbf,Stegastes adustus
Stegastes nigricans__Moorea,0.5137379514299637,0.4921482099859142,4.565217391304348,cbf,Stegastes nigricans
Stegastes partitus__Belize,0.330030062194238,0.3292658995547034,5.19,cbf,Stegastes partitus
Stegastes planifrons__Belize,0.5580864241096533,0.524843452282278,6.085714285714285,cbf,Stegastes planifrons
Stegastes planifrons__Panama,0.3856943981753338,0.36624136283511255,6.433333333333334,cbf,Stegastes planifrons
Thalassoma bifasciatum__Belize,0.6047563115578279,0.5814677138145012,3.2157894736842105,cbf,Thalassoma bifasciatum
Tigrigobius saucrus__Belize,0.22014006165703626,0.17956251188412156,1.481818181818182,cbf,Tigrigobius saucrus
Tigrigobius saucrus__Panama,0.20331990280207834,0.20991059574520568,1.7256410256410257,cbf,Tigrigobius saucrus
Trimma capostriatum__Lizard,0.36690479499348516,0.2730496170518064,1.775609756097561,cbf,Trimma capostriatum
Trimma corallinum__GoO,0.14407652920058583,0.20444045585662335,2.309090909090909,cbf,Trimma corallinum
Trimma necopinum__Lizard,0.2891919087863912,0.24031347116770022,2.2600000000000002,cbf,Trimma necopinum
Trimmatom eviotops__Moorea,0.2906989709657659,0.2256929428531207,1.4333333333333333,cbf,Trimmatom eviotops
Ucla xenogrammus__Lizard,0.1457721506762497,0.13585686932963276,3.792307692307692,cbf,Ucla xenogrammus
Uropterygius fuscoguttatus__Moorea,0.46304395996987585,0.4461699129687352,12.186666666666667,cbf,Uropterygius fuscoguttatus
Abudefduf saxatilis__Panama,NA,0.15652146146924895,14.42,cbf,Abudefduf saxatilis
