species,size_class,size_min,size_max,std_mk,name,value
Thalassoma lunare,10,8.75,11.25,1.345382475,lbspr_mk15,0.2636852448524279
Thalassoma lunare,12.5,11.25,13.75,1.345382475,lbspr,0.04293439049958144
Thalassoma lunare,12.5,11.25,13.75,1.345382475,rls_obs,0.1489737777870199
Thalassoma lunare,12.5,11.25,13.75,1.345382475,p_norm,0.2382070456076024
Thalassoma lunare,12.5,11.25,13.75,1.345382475,p_lnorm,0.19607023494667783
Thalassoma lunare,12.5,11.25,13.75,1.345382475,lbspr_mk15,0.03252483622094591
Thalassoma lunare,15,13.75,17.5,1.345382475,lbspr,0.00350810597471549
Thalassoma lunare,15,13.75,17.5,1.345382475,rls_obs,0.11457921770051364
Thalassoma lunare,15,13.75,17.5,1.345382475,p_norm,0.16660715450714347
Thalassoma lunare,15,13.75,17.5,1.345382475,p_lnorm,0.12634681550007232
Thalassoma lunare,15,13.75,17.5,1.345382475,lbspr_mk15,0.00232135921453152
Thalassoma lunare,20,17.5,22.5,1.345382475,lbspr,0
Thalassoma lunare,20,17.5,22.5,1.345382475,rls_obs,0.04733930836573852
Thalassoma lunare,20,17.5,22.5,1.345382475,p_norm,0.0286885664135551
Thalassoma lunare,20,17.5,22.5,1.345382475,p_lnorm,0.04011385287443858
Thalassoma lunare,20,17.5,22.5,1.345382475,lbspr_mk15,0
Thalassoma lunare,25,22.5,27.5,1.345382475,lbspr,0
Thalassoma lunare,25,22.5,27.5,1.345382475,rls_obs,0.01218573894237767
Thalassoma lunare,25,22.5,27.5,1.345382475,p_norm,5.296813779276377e-4
Thalassoma lunare,25,22.5,27.5,1.345382475,p_lnorm,0.00640096555669689
Thalassoma lunare,25,22.5,27.5,1.345382475,lbspr_mk15,0
Thalassoma lunare,30,27.5,32.5,1.345382475,lbspr,0
Thalassoma lunare,30,27.5,32.5,1.345382475,rls_obs,4.470876915718772e-4
Thalassoma lunare,30,27.5,32.5,1.345382475,p_norm,1.6236799356139642e-6
Thalassoma lunare,30,27.5,32.5,1.345382475,p_lnorm,0.00100616521675755
Thalassoma lunare,30,27.5,32.5,1.345382475,lbspr_mk15,0
Ctenochaetus striatus,2.5,1.25,3.75,0.454546971,lbspr,0.06281214776714134
Ctenochaetus striatus,2.5,1.25,3.75,0.454546971,rls_obs,0.01317776100182068
Ctenochaetus striatus,2.5,1.25,3.75,0.454546971,p_norm,0.01343536135751496
Ctenochaetus striatus,2.5,1.25,3.75,0.454546971,p_lnorm,1.2223527788498225e-4
Ctenochaetus striatus,2.5,1.25,3.75,0.454546971,lbspr_mk15,0.1922942907677858
Ctenochaetus striatus,5,3.75,6.25,0.454546971,lbspr,0.06841506458594615
Ctenochaetus striatus,5,3.75,6.25,0.454546971,rls_obs,0.02210355699631422
Ctenochaetus striatus,5,3.75,6.25,0.454546971,p_norm,0.04190846441420774
Ctenochaetus striatus,5,3.75,6.25,0.454546971,p_lnorm,0.01673312060128191
Ctenochaetus striatus,5,3.75,6.25,0.454546971,lbspr_mk15,0.1778925044398977
Ctenochaetus striatus,7.5,6.25,8.75,0.454546971,lbspr,0.07576214591502489
Ctenochaetus striatus,7.5,6.25,8.75,0.454546971,rls_obs,0.06940805541986766
Ctenochaetus striatus,7.5,6.25,8.75,0.454546971,p_norm,0.09711012381311154
Ctenochaetus striatus,7.5,6.25,8.75,0.454546971,p_lnorm,0.11746473518509085
Ctenochaetus striatus,7.5,6.25,8.75,0.454546971,lbspr_mk15,0.1621885892518908
Ctenochaetus striatus,10,8.75,11.25,0.454546971,lbspr,0.18810835410349624
Ctenochaetus striatus,10,8.75,11.25,0.454546971,rls_obs,0.16098627825391892
Ctenochaetus striatus,10,8.75,11.25,0.454546971,p_norm,0.16719296150403676
Ctenochaetus striatus,10,8.75,11.25,0.454546971,p_lnorm,0.2302173350445512
Ctenochaetus striatus,10,8.75,11.25,0.454546971,lbspr_mk15,0.2694285462816384
Ctenochaetus striatus,12.5,11.25,13.75,0.454546971,lbspr,0.1368968053637292
Ctenochaetus striatus,12.5,11.25,13.75,0.454546971,rls_obs,0.2727252542297615
Ctenochaetus striatus,12.5,11.25,13.75,0.454546971,p_norm,0.21390252231440476
Ctenochaetus striatus,12.5,11.25,13.75,0.454546971,p_lnorm,0.2381720365375495
Ctenochaetus striatus,12.5,11.25,13.75,0.454546971,lbspr_mk15,0.10003002130427496
Ctenochaetus striatus,15,13.75,17.5,0.454546971,lbspr,0.3875146184904722
Ctenochaetus striatus,15,13.75,17.5,0.454546971,rls_obs,0.2784315466939029
Ctenochaetus striatus,15,13.75,17.5,0.454546971,p_norm,0.28423984114661127
Ctenochaetus striatus,15,13.75,17.5,0.454546971,p_lnorm,0.23608470180159147
Ctenochaetus striatus,15,13.75,17.5,0.454546971,lbspr_mk15,0.09292377361766362
Ctenochaetus striatus,20,17.5,22.5,0.454546971,lbspr,0.08049086377418997
Ctenochaetus striatus,20,17.5,22.5,0.454546971,rls_obs,0.1529486211643501
Ctenochaetus striatus,20,17.5,22.5,0.454546971,p_norm,0.15694457771993986
Ctenochaetus striatus,20,17.5,22.5,0.454546971,p_lnorm,0.12109118444272073
