population,mu_05,mu_10,mu_50,mu_90,mu_95,sigma_05,sigma_10,sigma_50,sigma_90,sigma_95,logl_50_norm,dat,meanlog_05,meanlog_10,meanlog_50,meanlog_90,meanlog_95,sdlog_05,sdlog_10,sdlog_50,sdlog_90,sdlog_95,logl_50_lnorm,mean_05_norm,mean_10_norm,mean_50_norm,mean_90_norm,mean_95_norm,cv_05_norm,cv_10_norm,cv_50_norm,cv_90_norm,cv_95_norm,mean_05_lnorm,mean_10_lnorm,mean_50_lnorm,mean_90_lnorm,mean_95_lnorm,cv_05_lnorm,cv_10_lnorm,cv_50_lnorm,cv_90_lnorm,cv_95_lnorm,population_n,species,fished,bimodal,normal_better,better_dist,cov_pref,pop_mean_size
Halichoeres melanurus__-19_147,3.393765747787578,4.177082675069795,5.6111974957405515,6.425189608374019,6.67187137860914,3.0431925084659635,3.1842247372821237,3.7368728604780057,4.678980646575103,5.161716875114038,-9.133077972421535,rls,1.5626595097458944,1.6133657867127027,1.754987091163756,1.8705716745251595,1.908747445771405,0.38534043376713406,0.4077243365686438,0.48342637465159455,0.5923480631475131,0.646660742767192,-16.97792291380302,5.876518888686222,6.033242011388805,6.488558810826686,6.985554951377795,7.169477660235801,0.4141518767845994,0.4262577997373522,0.4755674862505467,0.5354177871054965,0.5616215174762594,5.5961333881803395,5.81463076605894,6.491006498464063,7.28673285894435,7.569092789972826,0.4000974963316739,0.4252710328926627,0.5130953078749578,0.648314368278284,0.7205408434702453,215,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.4755674862505467,6.523255813953488
Halichoeres melanurus__-19_148,6.696359429647049,6.967281571865214,7.649969612850208,8.221437811031256,8.409880996290308,3.081990992556684,3.1926447707017576,3.628912998883168,4.13416437198803,4.361115719668092,-17.163681965734888,rls,1.8208437353179268,1.8660352236764264,1.9738037960673993,2.065129165308999,2.092933844720281,0.3376322560804149,0.35335493787499966,0.4140210241411133,0.4861465131921561,0.5187239884346828,-25.736942359832913,7.379066961166299,7.532217926021437,7.973604223915011,8.451418804399687,8.619817874034487,0.3658659595378124,0.3762172082365072,0.4161619403981832,0.45947979224800295,0.47866180796635294,6.88296641093694,7.1531023063444135,7.845105184863661,8.566080708549947,8.820414320717743,0.34748687317937127,0.36467725093473574,0.4324134084598329,0.5163360327082892,0.5556552343668558,818,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.4161619403981832,8.0440097799511
Halichoeres melanurus__-20_149,3.4479417201559213,4.107642249541771,5.2269034627220545,5.749075012051131,5.894232323566299,2.5171013721674345,2.597150342203067,3.0491085575419996,3.9513049740514425,4.456529841529369,-22.671619081409467,rls,1.5552703987859635,1.590696430125104,1.6777991446723366,1.7614286311839171,1.790892054542209,0.3597614716083307,0.3730134874797652,0.42148937559436095,0.4943680638356852,0.5246098909098813,-28.109523839599376,5.401334195861928,5.5077959880724094,5.812534013375679,6.211575397833177,6.391192569517933,0.3896279238692227,0.400562073222849,0.44489771141595336,0.5126832307328965,0.5396340828003183,5.275912744125382,5.42688955431779,5.86028801828105,6.349887791212682,6.526546077733349,0.3717223695700465,0.38637276108837054,0.44092078613929375,0.5261698325589546,0.5628627430576258,3627,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.44489771141595336,5.793355390129584
Halichoeres melanurus__-21_149,1.5617450980004826,2.3930968786784903,4.872055843019153,5.471414707398893,5.676925136095449,2.242191206286218,2.321124528807215,2.970932506532271,4.832176827409488,5.364168409831052,-11.779677782921128,rls,1.5387546515389792,1.562910779177198,1.6331936468774615,1.7047595438183352,1.7272399569344279,0.3391024705071151,0.3499462487203407,0.393602659021264,0.46443676880162366,0.4951705763071425,-13.56522807790756,5.046663569544576,5.150998758891236,5.502323588185163,6.0644403197954935,6.390412952005469,0.3748801955022232,0.3848358468374189,0.4479364175911315,0.5609803620971607,0.5797615090069628,5.113827033372288,5.204540131765708,5.542587563503366,5.95383931206458,6.113924871086087,0.34908847580538743,0.36093849182096777,0.40935084831967034,0.49064445512137195,0.5271328861193662,279,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.4479364175911315,5.448028673835125
Halichoeres melanurus__-23_151,7.152493361265503,7.369128943685297,7.909155040731849,8.409992755970048,8.573249426215174,2.5699689348672736,2.674861958495899,3.0432059615101794,3.5609726738516514,3.753129481302445,-15.652034799482513,rls,1.922594235323036,1.945405891717639,2.0046716310650883,2.062730790543246,2.0816007178674933,0.31327394176687157,0.32422884804334506,0.3621228590253122,0.4078039940823754,0.4281368749045968,-20.54920539735218,7.455333428125009,7.5867884641783565,8.03594552469982,8.50456194459991,8.660683860281445,0.31210087896711824,0.32351699599390893,0.3620035259443625,0.4122844001059125,0.4295067561291842,7.354076892170068,7.483615104631529,7.927166590707346,8.414838936200413,8.55367653213591,0.3211196526425866,0.33293953096515305,0.3743252160394775,0.4253612204766346,0.44852661931492543,581,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.3620035259443625,7.986230636833047
Halichoeres miniatus__-17_146,0.17976795347540336,0.34440146306838493,1.6173699511952646,3.489031558280571,4.037628753721799,3.213107263168079,3.4031637762963323,4.214429593659244,4.923194959939637,5.162094547418576,-12.320071884466737,rls,0.6753825299672022,0.916919218766524,1.3147496112021382,1.5395994969836508,1.6115446676038174,0.4492149603228077,0.4819394412265423,0.6016637971741772,0.8615174354403224,1.0055870552211554,-17.651558270736395,4.286432453012161,4.38459634416116,4.793180942158689,5.399561536010329,5.681248912646127,0.4846938031745301,0.5008998331765182,0.5481064459772378,0.574751165639814,0.5814960490789097,3.0354009585671395,3.4804616706110805,4.483631710427943,5.456096235677235,5.874084736935868,0.4728594087229722,0.5113264696831666,0.6604528539467636,1.0490841363872303,1.3224645157450257,447,Halichoeres miniatus,FALSE,FALSE,TRUE,normal,0.5481064459772378,4.776286353467562
Halichoeres miniatus__-18_146,4.47784911851743,4.930424265039948,5.701302663068001,6.2253424882148325,6.398635893595023,2.463837572428249,2.56034281814862,2.9166306169060374,3.4606625687313377,3.687156854023673,-13.6508988089207,rls,1.5169811036205108,1.5754780858748294,1.7082005317788918,1.8261327086552457,1.8654698469522488,0.32541398420828327,0.34628360090128213,0.4114329548213739,0.5095899657466338,0.5583894726208857,-21.86017261068892,5.54205456941695,5.704470661207911,6.093327606958363,6.4959914419622695,6.644874746743791,0.3685738991979295,0.3825522789792995,0.42254053804921976,0.47224933295725846,0.495838118946344,5.155848328494692,5.379000024761063,6.022802992147804,6.737720616366986,7.009832911793745,0.33422196238331103,0.35692857948907625,0.4294744185165516,0.544534335546367,0.6048800335958705,1023,Halichoeres miniatus,FALSE,FALSE,TRUE,normal,0.42254053804921976,6.148582600195503
Halichoeres miniatus__-21_149,3.768373622703918,4.19518442870173,4.852194752582529,5.236442334784939,5.354504985241933,1.778485294765603,1.8495814793269092,2.126356493098546,2.637100081344136,3.001651910479081,-7.829796666760841,rls,1.3704504050039772,1.43320034016069,1.5572097876886837,1.662028358845965,1.696561576801067,0.2819197987482156,0.29869866142607454,0.35975251283842125,0.4725653617078054,0.5448744988330504,-14.511025716357882,4.619195086968109,4.74981238657082,5.084887019887685,5.396645386755187,5.521482311619638,0.3271470319347879,0.339961579394868,0.3790483785478139,0.44263752252920047,0.47087113899513544,4.393966725216256,4.589656232796285,5.076537860844357,5.613450940716598,5.842980153191767,0.28761532780894894,0.3054867165003807,0.3717125016534734,0.5002180586942877,0.5879327167909304,643,Halichoeres miniatus,FALSE,FALSE,TRUE,normal,0.3790483785478139,5.128304821150856
Halichoeres nebulosus__-10_133,1.105307546609407,1.803940026253869,3.792456658997219,4.789802855655973,5.046220142659766,2.458000504924919,2.5846696470330577,3.283996337206381,4.434753543977058,4.761685638652714,-15.751471193983289,rls,1.4214350242412064,1.4526755398492348,1.5309595742863131,1.6045175456100689,1.6347797485160047,0.3485357895299129,0.3606753526522682,0.40870230874924146,0.4803234272043399,0.5104466953670465,-18.11671845122031,4.491675331885516,4.611743977882492,5.031648932399923,5.58764554539124,5.81242096159001,0.4136129324838352,0.4295051072512649,0.4890119490355253,0.5535478563192007,0.5672889134399015,4.586776852890251,4.692874225358773,5.029081265148118,5.4257198425466955,5.599874988178269,0.35939340127301916,0.3727293061678345,0.4263785570971861,0.5094062056797838,0.5455741556785552,1165,Halichoeres nebulosus,FALSE,FALSE,TRUE,normal,0.4890119490355253,5.012875536480687
Halichoeres nebulosus__-11_137,0.7315403520267587,1.6646659889431297,4.997190184778795,6.434559742913003,6.694323493273332,1.5421201136206648,1.7357332349785226,2.7401672422424,4.937123621869204,5.692344598815218,-12.93315045477572,rls,0.3240157408211229,0.9016144489839588,1.598422607172918,1.8285415259753737,1.8788772412800072,0.2569437079654475,0.28826643373448413,0.4506129307471829,1.1398643170241147,1.4859586349835858,-17.826501568037894,4.470604376130332,4.700955335334049,5.679888537862367,6.6859631474566275,7.035374471368492,0.2400395271497735,0.2759299187985863,0.4306896936292487,0.565695792419908,0.5864984660260671,3.171415657354075,3.966417533314562,5.581563117113817,7.023664566472539,8.026899326652781,0.2612434797203374,0.2943599693358517,0.4744852300902632,1.6330020274871917,2.8457287685887422,531,Halichoeres nebulosus,FALSE,FALSE,TRUE,normal,0.4306896936292487,6.1770244821092275
