species,mean_size,size_min,size_class,size_max,p_obs,pref,ll_ratio,mu,sd,sdlog,meanlog,name,value,alp,lty
Bolbometopon muricatum,78.02248677248677,32.5,35,37.5,0.02116402116402116,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.02023389112606208,1,solid
Bolbometopon muricatum,78.02248677248677,32.5,35,37.5,0.02116402116402116,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.013668215418761986,0.8,73
Bolbometopon muricatum,78.02248677248677,37.5,40,45,0.04497354497354497,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.04328528350371298,1,solid
Bolbometopon muricatum,78.02248677248677,37.5,40,45,0.04497354497354497,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.04680292577161729,0.8,73
Bolbometopon muricatum,78.02248677248677,45,50,56.25,0.11375661375661376,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.09929859882050256,1,solid
Bolbometopon muricatum,78.02248677248677,45,50,56.25,0.11375661375661376,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.1380083123089696,0.8,73
Bolbometopon muricatum,78.02248677248677,56.25,62.5,68.75,0.1111111111111111,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.1574465987974656,1,solid
Bolbometopon muricatum,78.02248677248677,56.25,62.5,68.75,0.1111111111111111,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.2090389455674961,0.8,73
Bolbometopon muricatum,78.02248677248677,68.75,75,81.25,0.15608465608465608,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.18507645860381872,1,solid
Bolbometopon muricatum,78.02248677248677,68.75,75,81.25,0.15608465608465608,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.19925568611401567,0.8,73
Bolbometopon muricatum,78.02248677248677,81.25,87.5,93.75,0.36507936507936506,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.174948540051452,1,solid
Bolbometopon muricatum,78.02248677248677,81.25,87.5,93.75,0.36507936507936506,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.15112019195231707,0.8,73
Bolbometopon muricatum,78.02248677248677,93.75,100,106.25,0.1111111111111111,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.13298678665986519,1,solid
Bolbometopon muricatum,78.02248677248677,93.75,100,106.25,0.1111111111111111,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.09970097660410404,0.8,73
Bolbometopon muricatum,78.02248677248677,106.25,112.5,118.75,0.02116402116402116,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.08128959346073938,1,solid
Bolbometopon muricatum,78.02248677248677,106.25,112.5,118.75,0.02116402116402116,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.060280374241595824,0.8,73
Bolbometopon muricatum,78.02248677248677,118.75,125,131.25,0.03439153439153439,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.03995495865609533,1,solid
Bolbometopon muricatum,78.02248677248677,118.75,125,131.25,0.03439153439153439,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.0344864241531353,0.8,73
Bolbometopon muricatum,78.02248677248677,131.25,137.5,143.75,0.00529100529100529,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.01579024362012893,1,solid
Bolbometopon muricatum,78.02248677248677,131.25,137.5,143.75,0.00529100529100529,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.01905422035830362,0.8,73
Bolbometopon muricatum,78.02248677248677,143.75,150,156.25,0.00264550264550264,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.00501712893713091,1,solid
Bolbometopon muricatum,78.02248677248677,143.75,150,156.25,0.00264550264550264,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.010305124160667534,0.8,73
