species,size_class,p_lbspr,size_min,size_max,p_lbspr_mk15,p_obs,std_linf,std_k,std_mk,hoenig_m,largest_fish_in_sample_mm,mean_size
Sphyraena flavicauda,35,0.0534381234401986,32.5,37.5,0.08166568014481926,0.01902017291066282,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,40,0.01580854944096937,37.5,45,0.0312549528248487,0.04438040345821326,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,50,2.755900756829638e-4,45,56.25,8.129371289087558e-4,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,62.5,0,56.25,68.75,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,75,0,68.75,81.25,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,87.5,0,81.25,93.75,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,100,0,93.75,106.25,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,112.5,0,106.25,118.75,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,125,0,118.75,131.25,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,137.5,0,131.25,143.75,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,150,0,143.75,156.25,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,162.5,0,156.25,168.75,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,175,0,168.75,181.25,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,187.5,0,181.25,193.75,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,200,0,193.75,225,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,250,0,225,275,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,300,0,275,325,0,0,41.21,0.39,1.862837273,0.726506536,382,22
